,Fecha,Fallecidos
0,2020-07-01,4
1,2020-07-02,0
2,2020-07-03,0
3,2020-07-04,0
4,2020-07-05,0
5,2020-07-06,0
6,2020-07-07,0
7,2020-07-08,0
8,2020-07-09,0
9,2020-07-10,1
10,2020-07-11,0
11,2020-07-12,1
12,2020-07-13,0
13,2020-07-14,1
14,2020-07-15,0
15,2020-07-16,0
16,2020-07-17,0
17,2020-07-18,0
18,2020-07-19,0
19,2020-07-20,0
20,2020-07-21,1
21,2020-07-22,0
22,2020-07-23,0
23,2020-07-24,0
24,2020-07-25,1
25,2020-07-26,0
26,2020-07-27,0
27,2020-07-28,1
28,2020-07-29,0
29,2020-07-30,1
30,2020-07-31,1
31,2020-08-01,1
32,2020-08-02,2
33,2020-08-03,0
34,2020-08-04,1
35,2020-08-05,0
36,2020-08-06,1
37,2020-08-07,1
38,2020-08-08,3
39,2020-08-09,1
40,2020-08-10,1
41,2020-08-11,3
42,2020-08-12,1
43,2020-08-13,1
44,2020-08-14,1
45,2020-08-15,1
46,2020-08-16,1
47,2020-08-17,1
48,2020-08-18,1
49,2020-08-19,4
50,2020-08-20,4
51,2020-08-21,4
52,2020-08-22,6
53,2020-08-23,3
54,2020-08-24,6
55,2020-08-25,5
56,2020-08-26,10
57,2020-08-27,2
58,2020-08-28,9
59,2020-08-29,6
60,2020-08-30,3
61,2020-08-31,4
62,2020-09-01,9
63,2020-09-02,6
64,2020-09-03,8
65,2020-09-04,7
66,2020-09-05,9
67,2020-09-06,7
68,2020-09-07,7
69,2020-09-08,8
70,2020-09-09,5
71,2020-09-10,9
72,2020-09-11,9
73,2020-09-12,10
74,2020-09-13,7
75,2020-09-14,12
76,2020-09-15,12
77,2020-09-16,14
78,2020-09-17,25
79,2020-09-18,9
80,2020-09-19,11
81,2020-09-20,5
82,2020-09-21,6
83,2020-09-22,9
84,2020-09-23,10
85,2020-09-24,9
86,2020-09-25,11
87,2020-09-26,3
88,2020-09-27,6
89,2020-09-28,7
90,2020-09-29,12
91,2020-09-30,10
92,2020-10-01,2
93,2020-10-02,6
94,2020-10-03,5
95,2020-10-04,5
96,2020-10-05,6
97,2020-10-06,9
98,2020-10-07,3
99,2020-10-08,11
100,2020-10-09,8
101,2020-10-10,6
102,2020-10-11,5
103,2020-10-12,6
104,2020-10-13,8
105,2020-10-14,6
106,2020-10-15,5
107,2020-10-16,11
108,2020-10-17,10
109,2020-10-18,10
110,2020-10-19,6
111,2020-10-20,4
112,2020-10-21,6
113,2020-10-22,10
114,2020-10-23,9
115,2020-10-24,8
116,2020-10-25,8
117,2020-10-26,8
118,2020-10-27,5
119,2020-10-28,13
120,2020-10-29,6
121,2020-10-30,11
122,2020-10-31,4
123,2020-11-01,9
124,2020-11-02,15
125,2020-11-03,22
126,2020-11-04,10
127,2020-11-05,10
128,2020-11-06,12
129,2020-11-07,9
130,2020-11-08,15
131,2020-11-09,7
132,2020-11-10,14
133,2020-11-11,14
134,2020-11-12,17
135,2020-11-13,19
136,2020-11-14,9
137,2020-11-15,11
