,Fecha,Ingresos UCI
0,2020-07-01,0
1,2020-07-02,0
2,2020-07-03,1
3,2020-07-04,1
4,2020-07-05,1
5,2020-07-06,2
6,2020-07-07,0
7,2020-07-08,1
8,2020-07-09,1
9,2020-07-10,2
10,2020-07-11,1
11,2020-07-12,1
12,2020-07-13,0
13,2020-07-14,0
14,2020-07-15,3
15,2020-07-16,1
16,2020-07-17,0
17,2020-07-18,1
18,2020-07-19,0
19,2020-07-20,2
20,2020-07-21,1
21,2020-07-22,1
22,2020-07-23,3
23,2020-07-24,2
24,2020-07-25,1
25,2020-07-26,0
26,2020-07-27,2
27,2020-07-28,1
28,2020-07-29,1
29,2020-07-30,1
30,2020-07-31,0
31,2020-08-01,1
32,2020-08-02,2
33,2020-08-03,1
34,2020-08-04,2
35,2020-08-05,1
36,2020-08-06,3
37,2020-08-07,2
38,2020-08-08,1
39,2020-08-09,0
40,2020-08-10,2
41,2020-08-11,2
42,2020-08-12,3
43,2020-08-13,4
44,2020-08-14,5
45,2020-08-15,2
46,2020-08-16,2
47,2020-08-17,4
48,2020-08-18,2
49,2020-08-19,2
50,2020-08-20,4
51,2020-08-21,7
52,2020-08-22,2
53,2020-08-23,7
54,2020-08-24,6
55,2020-08-25,2
56,2020-08-26,6
57,2020-08-27,4
58,2020-08-28,5
59,2020-08-29,4
60,2020-08-30,0
61,2020-08-31,5
62,2020-09-01,7
63,2020-09-02,7
64,2020-09-03,7
65,2020-09-04,3
66,2020-09-05,4
67,2020-09-06,5
68,2020-09-07,6
69,2020-09-08,6
70,2020-09-09,4
71,2020-09-10,7
72,2020-09-11,7
73,2020-09-12,2
74,2020-09-13,1
75,2020-09-14,6
76,2020-09-15,6
77,2020-09-16,5
78,2020-09-17,4
79,2020-09-18,3
80,2020-09-19,3
81,2020-09-20,6
82,2020-09-21,2
83,2020-09-22,4
84,2020-09-23,4
85,2020-09-24,7
86,2020-09-25,10
87,2020-09-26,4
88,2020-09-27,3
89,2020-09-28,7
90,2020-09-29,3
91,2020-09-30,4
92,2020-10-01,5
93,2020-10-02,2
94,2020-10-03,2
95,2020-10-04,3
96,2020-10-05,2
97,2020-10-06,5
98,2020-10-07,3
99,2020-10-08,6
100,2020-10-09,1
101,2020-10-10,3
102,2020-10-11,1
103,2020-10-12,4
104,2020-10-13,4
105,2020-10-14,6
106,2020-10-15,3
107,2020-10-16,5
108,2020-10-17,8
109,2020-10-18,5
110,2020-10-19,6
111,2020-10-20,5
112,2020-10-21,4
113,2020-10-22,10
114,2020-10-23,2
115,2020-10-24,6
116,2020-10-25,8
117,2020-10-26,4
118,2020-10-27,9
119,2020-10-28,4
120,2020-10-29,10
121,2020-10-30,9
122,2020-10-31,6
123,2020-11-01,6
124,2020-11-02,12
125,2020-11-03,2
126,2020-11-04,3
127,2020-11-05,9
128,2020-11-06,11
129,2020-11-07,6
130,2020-11-08,13
131,2020-11-09,8
132,2020-11-10,11
133,2020-11-11,3
134,2020-11-12,10
135,2020-11-13,11
136,2020-11-14,5
137,2020-11-15,11
138,2020-11-16,5
139,2020-11-17,4
